tweet_text,confidence,sentiment
"Today is a bad day to go biking. The wind is strong and gusty, the roads are slippery. #dangerous",0.8123,Negative
"I'm so bored. There's nothing to do. The weather is too hot to go outside, too boring to stay inside. #blah",0.6312,Negative
I'm so excited. There's so much to do. The weather is perfect for any activity. #yay,0.8412,Positive
I don't know what to wear today. The weather is so unpredictable. It changes every hour. #confused,0.5432,Negative
I know what to wear today. The weather is so predictable. It's always the same. #boring,0.5321,Negative
Today is my birthday. I don't care about the weather. I'm going to celebrate with my friends and family. #happy,0.5643,Tweet not related to weather condition
"Today is the worst day ever. The weather is awful. It's raining, snowing, and hailing at the same time. #horrible",0.9213,Negative
Look at this cute snowman I made with my kids. They had so much fun. #familytime {link},0.7821,Neutral / author is just sharing information
Look at this ugly snowman I made with my kids. They had so much fun. #sarcasm,0.5821,Tweet not related to weather condition
I'm so tired of this weather. It's always cloudy and rainy. I need some sunshine and vitamin D. #depressed,0.8312,Negative
I'm so happy with this weather. It's always sunny and dry. I love the heat and the tan. #cheerful,0.8314,Positive
"Here's a tip for surviving the cold weather: drink hot chocolate, wear layers, and cuddle with someone. #lifetips",0.6123,Neutral / author is just sharing information
"Here's a tip for surviving the hot weather: drink water, wear sunscreen, and stay in the shade. #lifetips",0.6124,Neutral / author is just sharing information
"I'm so jealous of my friends who are traveling to tropical places. They get to enjoy the beach and the sun, while I'm stuck here in the cold and the snow. #envy",0.7621,Negative
"I'm so happy for my friends who are traveling to tropical places. They get to enjoy the beach and the sun, while I'm happy here in the cold and the snow. #supportive",0.7624,Positive
Who wants to join me for a picnic in the park? The weather is lovely and the flowers are blooming. #invitation,0.7321,Neutral / author is just sharing information
Who wants to join me for a movie night at home? The weather is terrible and the roads are flooded. #invitation,0.7322,Neutral / author is just sharing information
I'm so scared of this weather. It's stormy and lightning. I hope it doesn't cause any damage or power outage. #fearful,0.8213,Negative
I'm so amazed by this weather. It's stormy and lightning. I love watching the nature's show. #fascinated,0.8214,Positive
"Here's a fun fact about the weather: the highest temperature ever recorded on Earth was 56.7°C (134°F) in Death Valley, California, USA, on July 10, 1913. #didyouknow",0.6321,Neutral / author is just sharing information
"Here's a fun fact about the weather: the lowest temperature ever recorded on Earth was -89.2°C (-128.6°F) at Vostok Station, Antarctica, on July 21, 1983. #didyouknow",0.6322,Neutral / author is just sharing information
"I'm so angry at this weather. It ruined my plans for the weekend. I was supposed to go camping with my friends, but now it's raining and windy. #frustrated",0.8112,Negative
"I'm so grateful for this weather. It saved my plans for the weekend. I was supposed to go camping with my friends, but now it's raining and windy. #relieved",0.8114,Positive
Look at this funny meme I found about the weather. It's so relatable. #lol {link},0.5421,Neutral / author is just sharing information
Look at this offensive meme I found about the weather. It's so rude. #smh {link},0.5422,Tweet not related to weather condition
I'm so sad about this weather. It reminds me of the day I lost my loved one. #grief,0.8912,Negative
I'm so glad about this weather. It reminds me of the day I met my loved one. #love,0.8914,Positive
Here's a quote about the weather: Some people feel the rain. Others just get wet. - Bob Marley #quote,0.6521,Neutral / author is just sharing information
"Here's a quote about the weather: There is no such thing as bad weather, only different kinds of good weather. - John Ruskin #quote",0.6522,Neutral / author is just sharing information
I'm so proud of this weather. It shows how strong and resilient we are. We can handle anything. #patriotic,0.7214,Positive
I'm so ashamed of this weather. It shows how weak and vulnerable we are. We can't handle anything. #guilty,0.7212,Negative
Look at this video of a cute puppy playing in the snow. It's so adorable. #aww {link},0.7821,Neutral / author is just sharing information
Look at this video of a scary snake hiding in the sand. It's so terrifying. #yikes {link},0.7822,Tweet not related to weather condition
"Snowflakes are falling outside my window, each one a unique masterpiece. Winter has its own charm. @mention {link}",0.7123,Positive
Caught in a sudden downpour. My umbrella is no match for this rain. #soaked,0.6845,Negative
Climate change is real and it's happening. We need to act now. RT @mention {link},0.6432,Neutral / author is just sharing information
Join our charity run this weekend. Let's make a difference together! @mention {link},0.6589,Tweet not related to weather condition
Nothing beats a walk in the park on a sunny day. Feeling the warmth on my skin. #sunnyday,0.8234,Positive
"Thunderstorms can be scary, but they are a part of nature's cycle. Stay safe everyone. @mention {link}",0.7021,Neutral / author is just sharing information
Can't believe how hot it is today! I'm melting... #heatwave,0.7321,Negative
Watching the sunset paints the sky with shades of orange and pink. It's breathtaking. @mention {link},0.8123,Positive
Support our local farmers market. Fresh produce every weekend. @mention {link},0.6789,Tweet not related to weather condition
Rainy days make me feel gloomy. Missing the sunshine. #rainyday,0.7223,Negative
Beautiful rainbow after the rain. Nature's art is truly amazing. #rainbow,0.9123,Positive
Caught in a hailstorm. Ouch! These ice pellets are painful. #hailstorm,0.8945,Negative
Global warming is a serious issue. Let's do our part to save the planet. RT @mention {link},0.9432,Neutral / author is just sharing information
Join our book club. Let's explore the world of literature together! @mention {link},0.9589,Tweet not related to weather condition
Perfect weather for a picnic. Enjoying sandwiches under the clear blue sky. #picnic,0.9234,Positive
Lightning is a fascinating natural phenomenon. Stay indoors and stay safe. @mention {link},0.9021,Neutral / author is just sharing information
Too cold to go outside. I can't feel my fingers... #freezing,0.9321,Negative
"Watching the sunrise, a new day, a new beginning. It's beautiful. @mention {link}",0.9123,Positive
Support our local library. Knowledge is power. @mention {link},0.9789,Tweet not related to weather condition
Can't stand this humidity. I'm sweating buckets. #humidity,0.9223,Negative
Enjoying the cool breeze on a hot summer day. #summerbreeze,0.8123,Positive
Stuck in a snowstorm. Can't see anything. #snowstorm,0.7945,Negative
Climate change affects us all. Let's be more conscious of our actions. RT @mention {link},0.8432,Neutral / author is just sharing information
Join our cooking class. Let's discover new recipes together! @mention {link},0.8589,Tweet not related to weather condition
Perfect day for a swim. The water is just right. #swimming,0.8234,Positive
Floods can cause a lot of damage. Stay safe and follow local advisories. @mention {link},0.8021,Neutral / author is just sharing information
"It's so hot, I could fry an egg on the sidewalk. #heatwave",0.8321,Negative
Stargazing on a clear night. The universe is truly amazing. @mention {link},0.8123,Positive
Support our local theater. Let's keep the arts alive. @mention {link},0.8789,Tweet not related to weather condition
Can't go out because of the smog. Air quality is really bad. #pollution,0.8223,Negative
Feeling the sand between my toes on a sunny beach day. #beachday,0.8923,Positive
Caught in a sandstorm. Can't see anything. #sandstorm,0.8745,Negative
Deforestation is a major issue. We need to protect our forests. RT @mention {link},0.9232,Neutral / author is just sharing information
Join our music club. Let's make beautiful music together! @mention {link},0.9389,Tweet not related to weather condition
Perfect weather for a bike ride. Enjoying the wind in my hair. #bikeride,0.9034,Positive
Earthquakes can be devastating. Stay safe and follow local advisories. @mention {link},0.8821,Neutral / author is just sharing information
"It's so cold, I can see my breath. #freezing",0.9121,Negative
Watching the full moon on a clear night. It's mesmerizing. @mention {link},0.8923,Positive
Support our local animal shelter. Let's give these animals a loving home. @mention {link},0.9589,Tweet not related to weather condition
Can't go out because of the heavy snow. #snowday,0.9023,Negative
Enjoying the autumn leaves. Nature's colors are truly beautiful. #autumnleaves,0.8923,Positive
Caught in a blizzard. Can't see anything. #blizzard,0.8745,Negative
Pollution is a major issue. We need to protect our environment. RT @mention {link},0.9232,Neutral / author is just sharing information
Join our gardening club. Let's grow together! @mention {link},0.9389,Tweet not related to weather condition
Perfect weather for a hike. Enjoying the fresh air. #hiking,0.9034,Positive
Hurricanes can be devastating. Stay safe and follow local advisories. @mention {link},0.8821,Neutral / author is just sharing information
"It's so hot, I need a cold drink. #heatwave",0.9121,Negative
Watching the stars on a clear night. It's peaceful. @mention {link},0.8923,Positive
Support our local food bank. Let's fight hunger together. @mention {link},0.9589,Tweet not related to weather condition
Can't go out because of the heavy fog. #foggyday,0.9023,Negative
Feeling the warmth of the sun on a spring day. #spring,0.8923,Positive
Caught in a thunderstorm. Can't see anything. #thunderstorm,0.8745,Negative
Conservation is important. We need to protect our wildlife. RT @mention {link},0.9232,Neutral / author is just sharing information
Join our chess club. Let's improve our game together! @mention {link},0.9389,Tweet not related to weather condition
Perfect weather for a boat ride. Enjoying the cool breeze. #boating,0.9034,Positive
Wildfires can be devastating. Stay safe and follow local advisories. @mention {link},0.8821,Neutral / author is just sharing information
"It's so cold, I need a hot drink. #coldweather",0.9121,Negative
Watching the clouds on a lazy afternoon. It's relaxing. @mention {link},0.8923,Positive
Support our local school. Education is important. @mention {link},0.9589,Tweet not related to weather condition
Can't go out because of the heavy rain. #rainyday,0.9023,Negative
Enjoying the cool shade on a hot summer day. #summer,0.7923,Positive
Caught in a dust storm. Can't see anything. #duststorm,0.7745,Negative
Recycling is important. We need to protect our planet. RT @mention {link},0.8232,Neutral / author is just sharing information
Join our knitting club. Let's create together! @mention {link},0.8389,Tweet not related to weather condition
Perfect weather for a run. Enjoying the fresh air. #running,0.8034,Positive
Tsunamis can be devastating. Stay safe and follow local advisories. @mention {link},0.7821,Neutral / author is just sharing information
"It's so hot, I need an ice cream. #hotweather",0.8121,Negative
Watching the birds on a peaceful morning. It's calming. @mention {link},0.7923,Positive
Support our local hospital. Health is wealth. @mention {link},0.8589,Tweet not related to weather condition
Can't go out because of the smog. #smog,0.8023,Negative
Feeling the chill of winter. Snowflakes are like nature's art. #winter,0.6923,Positive
Caught in a cyclone. Can't see anything. #cyclone,0.6745,Negative
Water conservation is important. We need to protect our resources. RT @mention {link},0.7232,Neutral / author is just sharing information
Join our photography club. Let's capture moments together! @mention {link},0.7389,Tweet not related to weather condition
Perfect weather for a drive. Enjoying the open road. #driving,0.7034,Positive
Volcanic eruptions can be devastating. Stay safe and follow local advisories. @mention {link},0.6821,Neutral / author is just sharing information
"It's so cold, I need a warm drink. #coldweather",0.7121,Negative
Watching the wildlife on a peaceful afternoon. It's fascinating. @mention {link},0.6923,Positive
Support our local community center. Community is strength. @mention {link},0.7589,Tweet not related to weather condition
Can't go out because of the heat. #hotday,0.7023,Negative
I hate this cold and snowy weather. It makes me feel depressed and lonely. #winterblues,0.8123,Negative
"Wow, what a gorgeous day! The sun is shining, the birds are singing, and the flowers are blooming. I love spring! #happymood",0.9314,Positive
Just saw a rainbow after the rain. It was so beautiful and colorful. I took a picture and posted it on my blog. {link},0.6789,Neutral / author is just sharing information
"This weather is so unpredictable. One minute it's sunny, the next it's stormy. I don't know what to wear or do. #confused",0.5432,Negative
I'm so excited for the weekend. I'm going to the beach with my friends and enjoy the warm and sunny weather. #funtime,0.8765,Positive
"Weather forecast for tomorrow: cloudy with a chance of meatballs. Just kidding, it's going to be rainy and windy. #joke",0.4657,Tweet not related to weather condition
"Today is a terrible day to go shopping. The weather is cold and rainy, the traffic is heavy and slow. #shopping",0.8762,Negative
"Today is a great day to go gardening. The weather is warm and sunny, the soil is moist and fertile. #gardening",0.8764,Positive
I'm so surprised by this weather. It's unexpected and unusual. I need some adaptation and flexibility. #surprised,0.8213,Negative
I'm so delighted by this weather. It's pleasant and enjoyable. I need some appreciation and gratitude. #delighted,0.8214,Positive
Look at this awesome cake I baked for the weather. It's so delicious and tasty. #cake {link},0.7921,Neutral / author is just sharing information
Look at this terrible soup I cooked for the weather. It's so bland and watery. #soup {link},0.7922,Tweet not related to weather condition
"Today is a good day to go skiing. The weather is snowy and chilly, the slopes are smooth and steep. #skiing",0.8764,Positive
"Today is a bad day to go boating. The weather is stormy and rough, the waves are high and strong. #boating",0.8762,Negative
Here's a joke about the weather: What do you call a fish that wears a bowtie? Sofishticated. #joke,0.5621,Neutral / author is just sharing information
Here's a riddle about the weather: What has a face and two hands but no arms or legs? A clock. #riddle,0.5622,Neutral / author is just sharing information
I love this weather. It's cozy and warm. I feel comfortable and snug. #cozy,0.9514,Positive
I hate this weather. It's wet and cold. I feel uncomfortable and soggy. #wet,0.9512,Negative
"Today is a great day to go camping. The weather is dry and clear, the stars are bright and beautiful. #camping",0.8764,Positive
"Today is a terrible day to go golfing. The weather is humid and cloudy, the grass is wet and muddy. #golfing",0.8762,Negative
I'm so annoyed by this weather. It's irritating and frustrating. I need some patience and tolerance. #annoyed,0.7612,Negative
I'm so inspired by this weather. It's creative and stimulating. I need some expression and imagination. #inspired,0.7614,Positive
Look at this beautiful necklace I made of the weather. It's so elegant and charming. #necklace {link},0.7821,Neutral / author is just sharing information
Look at this horrible bracelet I made of the weather. It's so tacky and cheap. #bracelet {link},0.7822,Tweet not related to weather condition
I love this weather. It's romantic and dreamy. I feel passionate and loving. #romantic,0.9514,Positive
I hate this weather. It's lonely and depressing. I feel isolated and sad. #lonely,0.9512,Negative
Did you play the game about the weather? It was so fun and challenging. I had a blast. #game,0.6821,Neutral / author is just sharing information
Did you play the puzzle about the weather? It was so hard and frustrating. I gave up. #puzzle,0.6822,Tweet not related to weather condition
"Today is a good day to go running. The weather is cool and breezy, the road is smooth and flat. #running",0.8764,Positive
"Today is a bad day to go driving. The weather is foggy and smoggy, the visibility is low and poor. #driving",0.8762,Negative
I'm so tired of this weather. It's boring and dull. I need some change and variety. #tired,0.6312,Negative
I'm so happy with this weather. It's stable and consistent. I need some routine and order. #happy,0.6314,Positive
"Here's a story about the weather: Once upon a time, there was a girl who loved the weather. She wanted to see all the different kinds of weather in the world. So she packed her bags and went on a journey. She saw rainbows and snowflakes, thunderstorms and sunsets, and many more. She was happy and amazed by the beauty of nature. #story",0.6621,Neutral / author is just sharing information
"Here's a letter about the weather: Dear friend, I hope this letter finds you well. I wanted to tell you about the weather here. It's very cold and snowy. I have to wear a lot of layers and a hat and gloves. I like to make snowmen and snow angels, but sometimes I miss the sun and the warmth. How is the weather where you are? Write back soon. #letter",0.6622,Neutral / author is just sharing information
I'm so angry about this weather. It's unfair and unjust. I need some justice and compensation. #angry,0.8112,Negative
I'm so grateful for this weather. It's generous and kind. I need some gratitude and appreciation. #grateful,0.8114,Positive
Look at this amazing mural I painted of the weather. It's so vivid and expressive. #mural {link},0.7921,Neutral / author is just sharing information
Look at this terrible graffiti I sprayed of the weather. It's so ugly and offensive. #graffiti {link},0.7922,Tweet not related to weather condition
I love this weather. It's adventurous and exciting. I feel brave and daring. #adventurous,0.9514,Positive
I hate this weather. It's dangerous and risky. I feel scared and nervous. #dangerous,0.9512,Negative
Did you listen to the podcast about the weather? It was so interesting and informative. I learned a lot. #podcast,0.6821,Neutral / author is just sharing information
Did you listen to the music about the weather? It was so soothing and relaxing. I enjoyed it. #music,0.6822,Neutral / author is just sharing information
"Today is a good day to go biking. The weather is mild and pleasant, the scenery is beautiful and green. #biking",0.8764,Positive
"Today is a bad day to go flying. The weather is stormy and rough, the flights are cancelled and delayed. #flying",0.8762,Negative
I'm so tired of this weather. It's stressful and demanding. I need some peace and calm. #tired,0.8312,Negative
I'm so happy with this weather. It's relaxing and soothing. I need some rest and comfort. #happy,0.8314,Positive
Here's a haiku about the weather: Raindrops on the roof / A gentle melody plays / I fall asleep soon. #haiku,0.5621,Neutral / author is just sharing information
"Here's a sonnet about the weather: Shall I compare thee to a summer's day? / Thou art more lovely and more temperate / Rough winds do shake the darling buds of May / And summer's lease hath all too short a date / Sometime too hot the eye of heaven shines / And often is his gold complexion dimmed / And every fair from fair sometime declines / By chance or nature's changing course untrimmed / But thy eternal summer shall not fade / Nor lose possession of that fair thou ow'st / Nor shall death brag thou wander'st in his shade / When in eternal lines to time thou grow'st / So long as men can breathe or eyes can see / So long lives this, and this gives life to thee. #sonnet",0.6622,Neutral / author is just sharing information
"Here's a rap about the weather: Yo yo yo, check it out, I'm here to rap about the weather / It's cold and wet, but I don't sweat, I got my hoodie and my sweater / I don't care about the rain or the snow or the sleet / I got my rhymes and my beats and my flow is so sweet / I'm not afraid of the thunder or the lightning or the hail / I got my mic and my skills and my rap is off the scale / I'm the master of the weather, I can make it hot or cold / I can make it sunny or cloudy or windy or bold / I'm the weatherman, yo, and I'm here to say / No matter what the weather, I can make you feel okay. #rap",0.5621,Neutral / author is just sharing information
I love this weather. It's calm and serene. I feel peaceful and tranquil. #calm,0.9514,Positive
I hate this weather. It's chaotic and turbulent. I feel restless and agitated. #chaotic,0.9512,Negative
Did you watch the documentary about the weather? It was so fascinating and enlightening. I learned a lot. #documentary,0.6821,Neutral / author is just sharing information
Did you watch the comedy about the weather? It was so hilarious and entertaining. I laughed a lot. #comedy,0.6822,Neutral / author is just sharing information
"Today is a good day to go sightseeing. The weather is clear and beautiful, the views are stunning and amazing. #sightseeing",0.8764,Positive
"Today is a bad day to go picnicking. The weather is cloudy and gloomy, the mood is dull and boring. #picnicking",0.8762,Negative
I'm so tired of this weather. It's monotonous and repetitive. I need some novelty and diversity. #tired,0.6312,Negative
I'm so happy with this weather. It's familiar and comfortable. I need some stability and security. #happy,0.6314,Positive
"Here's a recipe about the weather: To make a snow cone, you need some shaved ice and some flavored syrup. You can use any flavor you like, such as strawberry, lemon, or grape. You can also add some toppings, such as whipped cream, sprinkles, or nuts. Enjoy your refreshing and delicious treat. #recipe",0.5621,Neutral / author is just sharing information
"Here's a review about the weather: I bought this umbrella online, and I regret it. It's the worst umbrella ever. It's flimsy and weak, it breaks easily and leaks water. It doesn't protect me from the rain or the wind. It's a waste of money and time. Don't buy this umbrella. #review",0.5622,Tweet not related to weather condition
I'm so scared of this weather. It's menacing and threatening. I need some protection and defense. #scared,0.8213,Negative
I'm so amazed by this weather. It's marvelous and wonderful. I need some admiration and awe. #amazed,0.8214,Positive
Look at this awesome poster I made of the weather. It's so catchy and attractive. #poster {link},0.7921,Neutral / author is just sharing information
Look at this terrible flyer I made of the weather. It's so boring and unappealing. #flyer {link},0.7922,Tweet not related to weather condition
I love this weather. It's lively and vibrant. I feel energetic and enthusiastic. #lively,0.9514,Positive
I hate this weather. It's dull and lifeless. I feel lethargic and apathetic. #dull,0.9512,Negative
Did you listen to the audiobook about the weather? It was so captivating and engaging. I listened to it all. #audiobook,0.6821,Neutral / author is just sharing information
Did you listen to the radio about the weather? It was so annoying and irritating. I turned it off. #radio,0.6822,Tweet not related to weather condition
"Today is a good day to go birdwatching. The weather is sunny and bright, the birds are colorful and cheerful. #birdwatching",0.8764,Positive
"Today is a bad day to go stargazing. The weather is cloudy and dark, the stars are hidden and dim. #stargazing",0.8762,Negative
I'm so tired of this weather. It's demanding and exhausting. I need some rest and relaxation. #tired,0.8312,Negative
I'm so happy with this weather. It's relaxing and soothing. I need some comfort and peace. #happy,0.8314,Positive
Here's a crossword about the weather: Across: 1. A large body of air with uniform temperature and humidity. 5. A violent storm with strong winds and rain. 6. A thin layer of ice that forms on the ground. Down: 2. A natural phenomenon that produces a bright flash of light. 3. A mass of water vapor that floats in the sky. 4. A form of precipitation that falls as frozen water. #crossword,0.5621,Neutral / author is just sharing information
"Here's a sudoku about the weather: Fill in the grid with numbers from 1 to 9, so that each row, column, and 3x3 box contains each number exactly once. The numbers represent different types of weather: 1. Sunny, 2. Cloudy, 3. Rainy, 4. Snowy, 5. Windy, 6. Foggy, 7. Stormy, 8. Hail, 9. Thunder. #sudoku",0.5622,Neutral / author is just sharing information
I'm so scared of this weather. It's spooky and creepy. I need some courage and bravery. #scared,0.8213,Negative
I'm so curious about this weather. It's interesting and mysterious. I need some knowledge and learning. #curious,0.8214,Positive
Look at this awesome shirt I made of the weather. It's so stylish and trendy. #shirt {link},0.7921,Neutral / author is just sharing information
Look at this terrible hat I made of the weather. It's so ugly and outdated. #hat {link},0.7922,Tweet not related to weather condition
I love this weather. It's fun and playful. I feel joyful and happy. #fun,0.9514,Positive
I hate this weather. It's boring and dull. I feel sad and unhappy. #boring,0.9512,Negative
Did you read the blog about the weather? It was so insightful and helpful. I learned a lot. #blog,0.6821,Neutral / author is just sharing information
Did you read the tweet about the weather? It was so rude and mean. I hated it. #tweet,0.6822,Tweet not related to weather condition
"Today is a good day to go skating. The weather is icy and slippery, the rink is smooth and shiny. #skating",0.8764,Positive
"Today is a bad day to go gardening. The weather is dry and dusty, the plants are wilted and dying. #gardening",0.8762,Negative
I'm so tired of this weather. It's hot and humid. I need some cool and dry. #tired,0.6312,Negative
I'm so happy with this weather. It's cold and crisp. I need some warm and cozy. #happy,0.6314,Positive
"Here's a quiz about the weather: What is the name of the instrument that measures atmospheric pressure? A. Barometer, B. Thermometer, C. Hygrometer, D. Anemometer. The correct answer is A. Barometer. #quiz",0.6621,Neutral / author is just sharing information
"Here's a survey about the weather: What is your favorite type of weather? A. Sunny, B. Cloudy, C. Rainy, D. Snowy. Please answer with A, B, C, or D. #survey",0.6622,Neutral / author is just sharing information
This storm is scary. I hope everyone is safe and sound. #pray,0.7217,Negative
@mention That sounds awesome. Have fun and take lots of pictures. {link},0.6134,Neutral / author is just sharing information
Going to the movies with my bestie. We're watching the new Marvel movie. #excited {link},0.6896,Tweet not related to weather condition
Today is a great day to go for a walk. The air is fresh and the flowers are blooming. #spring,0.8264,Positive
I can't stand this fog. It's so depressing. #foggy,0.7338,Negative
@mention That's amazing. Congratulations. #proud,0.6217,Neutral / author is just sharing information
Having a barbecue with my family. The food is delicious and the weather is perfect. #yum,0.7934,Positive
